,Unnamed: 0.1,Unnamed: 0,seq,secs,nsecs,p_x,p_y,p_z,o_x,o_y,o_z,x_calibrated,y_calibrated
103,267603,267603,0,1686578311,446912050,5.917496681213379,4.644145011901856,-0.1226870566606521,-0.0210537278889186,-0.006502917222165,0.0051407247380973,53.68957432630067,-48.33676693403545
104,267604,267604,0,1686578312,657125950,7.063521385192871,4.939227104187012,-0.1818743497133255,0.0204410613041579,0.0285401828117785,0.1068088404340807,53.880952046719784,-47.1675432790142
105,267605,267605,0,1686578313,665746927,7.947819709777832,5.486536979675293,-0.2149485200643539,0.0141335776025895,0.0376558751698146,0.1816937972262141,53.73627781089534,-46.13719411466533
106,267606,267606,0,1686578314,69176912,8.201708793640137,5.6436052322387695,-0.2271223664283752,0.0885891963425635,0.0393689753108317,0.0436606445555216,53.69477597456477,-45.841295703869804
107,267607,267607,0,1686578314,472671032,8.641382217407227,5.881953716278076,-0.2205733209848404,-0.033961009215204,0.0457607782874132,0.1000729112496927,53.65398723510766,-45.343497943959704
108,267608,267608,0,1686578315,481223106,9.76187515258789,6.44523286819458,-0.2397886216640472,0.0087442841032789,0.0462261801196507,0.2146999785011943,53.59006311480365,-44.09124142090434
109,267609,267609,0,1686578316,489892006,10.61361312866211,7.125284671783447,-0.2729843258857727,0.0330184297768136,0.047285927993185,0.2720890708539648,53.310791826810934,-43.03723994403642
110,267610,267610,0,1686578317,498450041,11.470762252807615,7.761685848236084,-0.2077559530735016,-0.009353941647328,-0.0113880441841712,0.2587329444900876,53.0746615922965,-41.999704389606805
111,267611,267611,0,1686578318,507051945,12.395811080932615,8.34080696105957,-0.28328737616539,-0.0077939385255994,0.006155506080549,0.2220073990805855,52.91686765589233,-40.91762246800128
112,267612,267612,0,1686578319,515662909,13.348711967468262,8.84422492980957,-0.4036338329315185,-0.0234754596168402,-0.0032681468716525,0.1975202868796613,52.839113891767454,-39.83878565293061
113,267613,267613,0,1686578320,524313927,14.34652328491211,9.36181354522705,-0.4061033129692077,-0.0095225065544414,0.0138426922157405,0.09256100870135,52.76771479621341,-38.71777688182513
114,267614,267614,0,1686578321,532983065,15.37463665008545,9.73487377166748,-0.448592334985733,0.0017029353530977,0.0003250720799417,-0.0068569189447578,52.840373582419794,-37.62566117148892
115,267615,267615,0,1686578322,339741945,16.160480499267578,9.88064670562744,-0.4507457315921783,0.0319388975542385,0.009908761773131,-0.1106336466871048,53.02376515997142,-36.84817947161912
116,267616,267616,0,1686578323,348352909,17.176103591918945,10.021078109741213,-0.4533253312110901,0.0374469267713174,0.0082087359097092,-0.2491135007669317,53.30467417339889,-35.86267697172711
117,267617,267617,0,1686578324,356975079,18.13904190063477,9.735191345214844,-0.4549166560173034,0.0147676129161782,0.0085110796560132,-0.3124259609185454,53.954468579192394,-35.09698585917482
118,267618,267618,0,1686578325,365581989,19.169723510742188,9.473638534545898,-0.4489809274673462,0.0275912556952592,0.0292682733495814,-0.3118241742809449,54.609383430579676,-34.259837347293924
119,267619,267619,0,1686578326,575887918,20.26668357849121,9.255577087402344,-0.3465997576713562,0.0245136760744083,0.0046472914711884,-0.3585017883452367,55.25221536505725,-33.34833517923767
120,267620,267620,0,1686578327,786226988,21.347034454345703,8.748167991638184,-0.4596332311630249,-0.026818886948181,0.0264845164340531,-0.4034950980292279,56.15090403187394,-32.560064771343285
121,267621,267621,0,1686578328,996622086,22.433727264404297,8.16645622253418,-0.4593870341777801,-0.017583759909946,0.0027899500829148,-0.2938266829265056,57.12131135153305,-31.80032656885552
122,267622,267622,0,1686578330,206875086,23.55327415466309,8.015674591064453,-0.3979788720607757,0.0109781949962041,0.0034646781779268,-0.2237143455332199,57.711259799167706,-30.83948632369256
123,267623,267623,0,1686578330,812028885,24.08921813964844,8.27525806427002,-0.418957769870758,0.0117453417599853,0.006006017820973,-0.1231266698824898,57.68956607063893,-30.244017851857702
124,267624,267624,0,1686578331,417265892,24.53746223449707,8.56795597076416,-0.4657844603061676,-0.0513265448628395,0.0102390773065151,0.0208446041707598,57.60194765056697,-29.71442072706374
125,267625,267625,0,1686578331,821252108,24.97891426086425,8.868245124816895,-0.4674455225467682,-0.0418985473438596,0.0496980463901794,0.1235775009097714,57.50511061555328,-29.189745104295927
126,267626,267626,0,1686578332,425786018,25.35595703125,9.244537353515623,-0.46918785572052,-0.0450143523827458,0.0106248155066442,0.267882643158263,57.31275779634431,-28.693384148305697
127,267627,267627,0,1686578332,829421043,25.56917381286621,9.605308532714844,-0.4653684496879577,-0.0405598781110233,0.0179372223120267,0.3624926791323413,57.068620046632624,-28.35332134124782
128,267628,267628,0,1686578333,232673883,25.601158142089844,10.017091751098633,-0.472025990486145,-0.0355793218991944,0.0497965004259527,0.4555809380871021,56.70463152125697,-28.15807100519146
129,267629,267629,0,1686578333,837845087,25.41225814819336,10.517980575561523,-0.4733682870864868,-0.0507942805980825,0.0166977150253093,0.5582450074670049,56.17011121837346,-28.129183307492642
130,267630,267630,0,1686578334,443047047,25.033897399902344,11.010348320007324,-0.4744997918605804,-0.0547300563560527,0.0236729115533885,0.6748892820500401,55.56701075641699,-28.277012589411633
131,267631,267631,0,1686578335,48187971,24.748783111572266,11.528244018554688,-0.4758531451225281,-0.0513492444419733,0.0372408513690562,0.7526427766812476,54.978139582308145,-28.329276139975107
132,267632,267632,0,1686578336,56790113,23.940156936645508,12.149457931518556,-0.4769802093505859,-0.0509865569491735,0.0602347849449807,0.8242023107068029,54.08367624114398,-28.818763540096995
133,267633,267633,0,1686578337,267105103,23.02099227905273,12.85948371887207,-0.4783242344856262,-0.0602578214074687,0.0246605955637835,0.840078898829964,53.063377975840126,-29.37359430170375
134,267634,267634,0,1686578338,477510929,21.949886322021484,13.299074172973633,-0.4788404405117035,-0.0220727576458824,0.034796875547458,0.8705914792426365,52.22930379755026,-30.1762684099959
135,267635,267635,0,1686578339,82597017,21.286846160888672,13.47851848602295,-0.479042500257492,-0.0187882083849437,0.0365247709002896,0.9264304871531056,51.797795974262044,-30.71044703175766
