,Unnamed: 0,seq,secs,nsecs,p_x,p_y,p_z,o_x,o_y,o_z
315578,315578,0,1686580886,173135996,3.2686636447906494,1.0133483409881592,0.7189202904701233,-0.1698311451930469,-0.1223812584767025,0.454868611879884
315579,315579,0,1686580887,181833982,3.927081823348999,1.910778284072876,0.6587768793106079,-0.1201930372764481,-0.1123615709103964,0.3801312725109257
315580,315580,0,1686580887,786923885,4.44355058670044,2.299569845199585,0.5908021926879883,-0.1252024583779224,-0.1675406038230468,0.2597708400166365
315581,315581,0,1686580888,190368891,4.826987266540527,2.370614767074585,0.5646460056304932,-0.0807453593470353,-0.1619215882242191,0.1619767260739569
315582,315582,0,1686580888,795538902,5.400082111358643,2.338050842285156,0.5770394206047058,-0.0814025122292234,-0.1784273538700362,0.0046701884335912
315583,315583,0,1686580889,199006081,5.722909450531006,2.2781193256378174,0.5852211713790894,-0.0712904072211103,-0.193141912144773,-0.1013229196397042
315584,315584,0,1686580889,804178953,6.2413506507873535,1.9976232051849363,0.6003652811050415,-0.0764388464511921,-0.1814563075437144,-0.2399669683711199
315585,315585,0,1686580890,207561970,6.477909564971924,1.6734923124313354,0.6108390092849731,-0.0079915802359192,-0.147109826744632,-0.3753472704223232
315586,315586,0,1686580891,14503002,6.849362373352051,1.048535704612732,0.6286637783050537,-0.0027953336009902,-0.1082920988477214,-0.5250668216451905
315587,315587,0,1686580891,417897940,6.838076114654541,0.6308354139328003,0.6359545588493347,0.0621149297874746,-0.1275056785069096,-0.6311192693271573
315588,315588,0,1686580892,23068905,6.986992359161377,0.0539165847003459,0.6492176055908203,0.0306786272448227,-0.0281012258262558,-0.7265417242276703
315589,315589,0,1686580892,829967022,6.798459529876709,-0.6179019212722778,0.6572551727294922,0.0647044983899474,-0.0579635192536687,-0.7928129241899872
315590,315590,0,1686580893,838598013,6.502987384796143,-1.5580106973648071,0.6677094101905823,0.0512842395773068,0.009088431688808,-0.7164091896126545
315591,315591,0,1686580894,443759918,6.846261024475098,-2.0517055988311768,0.6763346195220947,0.0647638531310897,-0.0304402901254423,-0.6255166479755001
315592,315592,0,1686580894,847263098,7.120908737182617,-2.378081798553467,0.6974926590919495,0.0532818401664212,-0.0023702697938764,-0.5239135648829792
315593,315593,0,1686580895,855823040,7.864518165588379,-3.2051594257354736,0.730778157711029,0.0485917452164313,-0.0028933870291813,-0.492117980990548
315594,315594,0,1686580897,66145897,8.654938697814941,-4.0048441886901855,0.7649701237678528,0.0268889493108531,-0.0511586703612865,-0.50297393550889
315595,315595,0,1686580897,872981071,9.328837394714355,-4.408724308013916,0.7901653051376343,-0.0044714071131327,-0.0359273745614137,-0.3996264912284757
315596,315596,0,1686580898,881612062,10.25275993347168,-4.809811592102051,0.8217445015907288,-0.0200728448254331,-0.0217435958261645,-0.3084984062451507
315597,315597,0,1686580899,486785889,10.8701753616333,-5.013326644897461,0.8427309989929199,-0.0340433186698776,-0.0157000220193185,-0.1823024164030502
315598,315598,0,1686580900,697247982,12.062458992004396,-5.219985961914063,0.8779234886169434,-0.0373268730653698,0.0014607751223653,-0.1650971788927361
315599,315599,0,1686580901,302231073,12.564986228942873,-5.486496925354004,0.8979318141937256,0.0263559810768573,-0.0225205775894676,-0.2807677335685762
315600,315600,0,1686580902,109119892,13.190335273742676,-5.858057022094727,0.923591375350952,0.0294675351157215,-0.0109315232967092,-0.4078835156582058
315601,315601,0,1686580903,319468021,13.881279945373535,-6.81476640701294,0.9633564352989196,0.0809825123973145,-0.1143905960434097,-0.3514855255098176
315602,315602,0,1686580903,924617052,14.496792793273926,-7.1592559814453125,0.9886415600776672,-0.0204403667981599,-0.0537460733263,-0.3711424745874705
315603,315603,0,1686580904,529771090,14.99509620666504,-7.634563446044922,1.0142652988433838,-0.0609521876308018,-0.0216514341619717,-0.4725430427145832
315604,315604,0,1686580905,538407087,15.733535766601562,-8.323877334594727,1.050413966178894,-0.0237106933645955,-0.0232858617663296,-0.4785554167883363
315605,315605,0,1686580906,143661976,16.014808654785156,-8.912060737609863,1.073621392250061,0.010778585189987,-0.0009675971510029,-0.6384343016793882
315606,315606,0,1686580906,547013044,16.206851959228516,-9.095967292785645,1.085877776145935,0.0371860181180947,-0.0183816652981735,-0.7331052646835083
315607,315607,0,1686580907,353863955,16.196128845214844,-9.843762397766112,1.1059433221817017,0.0517969495848165,0.0014164143886584,-0.8211961396528734
315608,315608,0,1686580908,564234972,15.935467720031738,-10.892141342163086,1.1269580125808716,0.097759386279366,0.0221864024493229,-0.8788102152162184
315609,315609,0,1686580909,774666071,15.386446952819824,-11.889945030212402,1.140075445175171,0.1421849384833424,-0.0444925481532164,-0.9005252562354616
315610,315610,0,1686580910,379673004,15.027464866638184,-12.422307968139648,1.1472153663635254,0.0957108787967383,-0.0120892170727349,-0.8453023442535684
315611,315611,0,1686580911,388348103,14.593666076660156,-13.367170333862305,1.162061095237732,0.0843577689016105,0.0244130689062214,-0.7830955106071705
315612,315612,0,1686580912,195261955,14.71360969543457,-14.139276504516602,1.1863194704055786,0.0234649354831358,0.0063287570279427,-0.6894014099660348
315613,315613,0,1686580912,598661900,14.948060035705566,-14.5208740234375,1.2043790817260742,0.0149162147225317,0.0480379688393679,-0.5514890817758993
315614,315614,0,1686580913,2057076,15.23115348815918,-14.783247947692873,1.2208884954452517,0.0032185672419413,0.0449494742099144,-0.4602996129554962
315615,315615,0,1686580913,405585051,15.536368370056152,-15.134271621704102,1.2400020360946655,-0.0006682469867317,0.0662331203322789,-0.3494617354898752
315616,315616,0,1686580914,414092064,16.457420349121094,-15.39456272125244,1.2720097303390503,-0.0464012933970841,0.0252041409540782,-0.2424949898837224
315617,315617,0,1686580914,817590952,16.88094711303711,-15.492998123168944,1.2881767749786377,-0.0231689087943486,0.0761717869856806,-0.1276818055353856
315618,315618,0,1686580916,27921915,18.01073455810547,-15.85622787475586,1.3276270627975464,-0.0168492947262436,0.0632481955324885,-0.1976139532200767
315619,315619,0,1686580917,238199949,19.125316619873047,-16.127532958984375,1.3645178079605105,0.0121724206047937,0.1197730255228597,-0.185784719368716
315620,315620,0,1686580918,448522091,20.15672874450684,-16.075496673583984,1.3918300867080688,-0.0513588393328499,0.114166665616836,-0.0529230866536898
315621,315621,0,1686580919,255531073,21.01058578491211,-15.857380867004396,1.410914182662964,-0.123719919678244,0.1073558604944378,0.0802210751716591
315622,315622,0,1686580920,62280893,21.495058059692383,-15.266950607299805,1.4124783277511597,-0.1079633020400473,0.0212483475165734,0.2029156115763592
315623,315623,0,1686580920,264105082,21.52236557006836,-15.077168464660645,1.4123438596725464,-0.0548482991836152,0.0649122207105652,0.3019229765707519
315624,315624,0,1686580920,667473078,21.781587600708008,-14.65198040008545,1.4122370481491089,-0.1066471469789391,0.0816044144623516,0.423750655498658
315625,315625,0,1686580921,474328995,22.00191879272461,-13.792012214660645,1.4011452198028564,-0.0647039158052991,0.1559281750859349,0.5778268674909331
315626,315626,0,1686580922,79518080,22.162227630615234,-13.285432815551758,1.2772001028060913,-0.0710100683211159,0.1141032056375975,0.4951257149150044
315627,315627,0,1686580922,482985020,22.3230037689209,-12.692254066467283,1.2670623064041138,-0.0876992358155645,0.1511589327509384,0.624100145877836
315628,315628,0,1686580922,886439085,22.151235580444336,-12.49081325531006,1.2465262413024902,-0.1445949469777045,0.0644779583113568,0.6761523879372326
315629,315629,0,1686580923,289848089,22.0592041015625,-12.071340560913086,1.2106999158859253,-0.1265041232883077,0.0697583719213129,0.7639716713048154
315630,315630,0,1686580923,693285942,21.854124069213867,-11.69560432434082,1.3117419481277466,-0.1457551440518887,0.0451937399573513,0.8390935034884444
315631,315631,0,1686580924,903604031,21.266191482543945,-10.71537971496582,1.2244359254837036,-0.1287081606946823,0.03879270436714,0.8813709257947361
315632,315632,0,1686580925,912173986,20.457080841064453,-10.0260009765625,1.290366291999817,-0.1157066702230804,0.0619954662396256,0.9278183534322938
315633,315633,0,1686580926,719068050,19.896211624145508,-9.517658233642578,1.2349992990493774,-0.1137908430201388,-0.0222846875719789,0.877583866099442
315634,315634,0,1686580927,727721930,19.15839385986328,-8.784930229187012,1.113466739654541,-0.1465913246730041,0.0200172543096376,0.8431845504244918
315635,315635,0,1686580928,131376028,18.753786087036133,-8.429975509643555,1.1166290044784546,-0.156495851767523,0.0343760484404207,0.8997224965770586
315636,315636,0,1686580928,534657001,18.45900154113769,-8.111407279968262,1.0925730466842651,-0.1383720189116803,0.0559079676826768,0.8316022212852059
315637,315637,0,1686580929,744980097,17.979408264160156,-7.140971660614014,1.153359293937683,-0.1308136751726133,0.0231052739339149,0.7495064846485535
315638,315638,0,1686580930,148350954,17.923980712890625,-6.7683515548706055,1.1185626983642578,-0.1691822116911506,-0.0006619506856143,0.6778135266518601
315639,315639,0,1686580930,955305099,18.07404327392578,-6.119619369506836,1.1059260368347168,-0.0702125705529766,0.0128563696324705,0.5576943381517178
315640,315640,0,1686580931,963893890,18.465070724487305,-5.2935051918029785,1.0937387943267822,-0.0774386112486313,-0.0065394194554533,0.4365990727589188
315641,315641,0,1686580933,174237967,19.024099349975582,-4.301962852478027,1.080531358718872,-0.0811717308815553,0.0162663656190516,0.4069600637164058
315642,315642,0,1686580933,779330969,19.31240463256836,-3.6887047290802,1.0708739757537842,-0.098415785069041,0.0246829961473536,0.5170549145729384
315643,315643,0,1686580934,989680052,19.652124404907227,-2.616555690765381,1.048448920249939,-0.1348662651712084,0.0481532572596283,0.5683186239507941
315644,315644,0,1686580936,199982882,20.05677604675293,-1.5544967651367188,1.0275485515594482,-0.1487513841923912,0.0847745737950674,0.5906028330693364
315645,315645,0,1686580936,603451014,20.23101043701172,-1.239370346069336,1.0235216617584229,-0.0761472223801638,0.0374367968871242,0.5005280274557791
315646,315646,0,1686580937,813827991,20.75345993041992,-0.1841246932744979,0.986477255821228,-0.0931716997266614,0.0155973915042504,0.4471578336663207
315647,315647,0,1686580938,822338104,21.232894897460938,0.7692444324493408,0.9880582094192504,-0.0662471196672305,0.0309094347085092,0.4407910635377253
